subj_idx,cond,R1,R2,reward,choice,rt,postjudgment,block
2,1,6,5,5,2,0.903,0.89,1
2,1,6,5,5,2,0.551,0.97,1
2,1,6,5,5,2,0.457,0.9,1
2,1,6,5,5,2,0.646,0.93,1
2,1,6,5,5,2,0.496,0.84,1
2,1,6,5,5,2,0.479,0.93,1
2,1,6,7,7,2,0.825,0.95,1
2,1,6,7,7,2,0.509,0.89,1
2,1,6,7,7,2,0.974,0.9,1
2,1,6,7,7,2,0.549,0.92,1
2,1,6,7,7,2,0.701,0.93,1
2,1,6,7,7,2,0.731,0.9,1
2,1,6,7,7,2,0.468,0.86,1
2,1,6,7,7,2,0.433,0.92,1
2,1,6,7,6,1,0.373,0.5,1
2,1,6,7,7,2,0.509,0.96,1
2,1,6,7,7,2,0.452,0.79,1
2,1,6,7,7,2,0.605,0.94,1
2,1,6,7,7,2,0.414,0.93,1
2,1,6,7,7,2,0.399,0.5,1
2,1,6,7,7,2,0.991,0.5,1
2,1,6,7,7,2,1.053,0.91,1
2,1,8,7,7,2,0.447,0.84,1
2,1,8,7,7,2,0.441,0.81,1
2,1,8,7,7,2,0.393,0.87,1
2,1,8,7,7,2,0.406,0.92,1
2,1,8,9,9,2,0.464,0.81,1
2,1,8,9,9,2,0.536,0.8,1
2,1,8,9,8,1,0.596,0.5,1
2,1,8,9,9,2,1.047,0.89,1
2,1,8,9,9,2,0.411,0.98,1
2,1,8,9,9,2,0.873,0.94,1
2,1,8,9,9,2,0.487,0.92,1
2,1,8,9,9,2,0.47,1,1
2,1,8,9,9,2,0.447,1,1
2,1,8,9,9,2,0.479,1,1
2,1,8,9,9,2,0.447,0.95,1
2,1,8,9,9,2,0.439,0.99,1
2,1,8,9,9,2,0.479,0.91,1
2,1,8,9,9,2,0.496,0.85,1
2,1,8,9,9,2,0.638,0.5,1
2,1,8,9,9,2,0.929,0.5,1
2,1,8,9,9,2,1.119,0.5,1
2,1,10,9,9,2,0.958,0.5,1
2,1,10,9,9,2,0.497,0.95,1
2,1,10,9,9,2,3.175,0.5,1
2,1,10,9,9,2,0.51,0.5,1
2,1,10,9,9,2,0.439,0.5,1
2,1,10,9,9,2,0.534,0.5,1
2,1,10,9,9,2,0.533,0.5,1
2,1,10,9,9,2,0.733,0.5,1
2,1,10,9,9,2,0.597,0.5,1
2,1,10,9,9,2,0.621,0.5,1
2,1,10,11,11,2,0.604,0.5,1
